date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:05	118486/118486	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:31%20GMT	http://fiisha.com/product-detail/new-sample-product	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/new-sample-product.html	(from http://fiisha.com/)
05:53:06	4397/4397	---M--	200	added ('OK')	image/jpeg	etag:%22a78206a-112d-5a55609498713%22	http://fiisha.com/images/media/2020/05/medium1589163825UM5CG11702.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163825UM5CG11702.jpg	(from http://fiisha.com/)
05:53:07	193257/193257	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:34%20GMT	http://fiisha.com/product-detail/6-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/6-3.html	(from http://fiisha.com/)
05:53:10	4397/4397	---M--	200	added ('OK')	image/jpeg	etag:%22a78206b-112d-5a5560949a26b%22	http://fiisha.com/images/media/2020/05/medium1589163825o1ZIJ11602.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163825o1ZIJ11602.jpg	(from http://fiisha.com/)
05:53:12	193287/193287	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:39%20GMT	http://fiisha.com/product-detail/4-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/4-3.html	(from http://fiisha.com/)
05:53:13	202466/202466	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:40%20GMT	http://fiisha.com/product-detail/5-4-5	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/5-4-5.html	(from http://fiisha.com/)
05:53:14	204288/204288	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:37%20GMT	http://fiisha.com/product-detail/4-5-1	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/4-5-1.html	(from http://fiisha.com/)
05:53:14	204304/204304	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:42%20GMT	http://fiisha.com/product-detail/10-3	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/10-3.html	(from http://fiisha.com/)
05:53:17	215649/215649	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:44%20GMT	http://fiisha.com/shop?type=topseller	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/shop68c3.html	(from http://fiisha.com/)
05:53:18	170919/170919	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:45%20GMT	http://fiisha.com/product-detail/2400-21	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-21.html	(from http://fiisha.com/)
